"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3362",6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
"358",6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
"2019",7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
"2505",8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
"515",7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
"4455",6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
"4564",5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7
"3554",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"3026",5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7
"651",7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
"154",7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
"941",6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5
"2478",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
"701",8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
"3396",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5
"1315",6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
"2869",6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
"328",6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
"2799",6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
"4330",6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
"456",6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"543",5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
"4509",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"1681",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"2407",7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
"4579",4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
"3036",6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
"535",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
"4677",6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6
"4594",6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
"2067",7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
"2038",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
"556",9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
"1784",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
"3216",7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6
"3625",6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,7
"4313",6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6
"2211",7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
"1183",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
"1110",9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
"2850",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
"800",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8
"2165",8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,5
"690",6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7
"3748",6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,6
"4830",6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7
"2540",6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
"2514",6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
"4531",7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,6
"3447",7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6
"2381",6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
"4623",6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7
"2236",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"3132",6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
"1554",6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7
"592",7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
"1445",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"339",5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
"554",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
"2234",6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
"4521",5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
"3507",7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6
"3475",6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
"2605",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
"3722",7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5
"281",7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8
"4852",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
"1362",6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7
"1097",6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6
"1018",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
"3885",6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
"4512",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
"2983",7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,6
"619",7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
"4354",7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,6
"4042",6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
"3662",6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
"3220",6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
"2926",7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
"748",7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
"718",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
"574",7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
"425",6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
"2743",8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6
"1260",6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6
"1704",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
"1973",7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
"131",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
"2134",8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
"4427",6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6
"557",8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
"1854",8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5
"805",7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
"2639",7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
"1100",5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7
"1041",8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4
"4008",6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
"3774",5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
"4835",5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7
"3526",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
"3776",6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
"539",6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
"1753",6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6
"3832",6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
"1463",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
"3492",8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,6
"2455",7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
"1940",6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
"2896",6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
"1023",6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
"1785",6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
"2086",7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
"397",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"4230",6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6
"2874",5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
"2220",6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7
"4027",7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
"1857",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"3503",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
"4568",5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
"1665",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
"2077",6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
"1398",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
"2482",6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
"3988",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"3033",6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5
"2043",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
"1208",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
"1162",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"2866",5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
"4728",6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
"2615",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
"2989",7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
"3572",5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4
"4742",6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6
"4023",7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
"3735",6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,5
"436",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
"1192",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
"3270",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
"977",6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
"1666",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"1447",6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
"319",5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
"249",5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
"217",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
"2822",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
"12",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
"2416",8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5
"135",6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
"1745",6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
"2028",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
"2106",6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
"1289",7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
"1941",8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
"1985",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
"4550",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
"1902",7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
"2480",6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
"1961",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"893",5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
"4168",6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,8
"2156",7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
"3923",6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
"4709",7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6
"3958",7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
"3110",6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
"763",6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5
"3336",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
"4822",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
"3082",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"2981",6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
"4046",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"2880",5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
"3880",6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4
"3086",8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
"964",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
"3470",7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
"1870",8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,7
"3614",7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
"4114",6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,6
"803",6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
"4062",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"954",8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
"3010",6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
"1858",8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
"3821",6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5
"1919",6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,6
"1921",8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7
"224",6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6
"1543",7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
"2855",6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
"2813",6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6
"1274",8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5
"4608",6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6
"2144",6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
"2486",8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6
"1391",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
"780",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"325",8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
"789",5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7
"422",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
"2309",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"74",8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6
"4518",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"119",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"2131",7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
"2771",6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
"190",6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
"4064",6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5
"3370",7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,7
"3978",6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6
"1954",8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6
"3562",7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
"3649",7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
"3193",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
"1436",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
"3939",8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12,6
"996",7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
"4559",5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
"1815",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
"2395",6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
"3356",5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
"2264",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
"3667",6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
"3168",5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
"1408",7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
"815",7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
"332",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
"2703",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"3337",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
"1342",7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
"2578",6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
"3673",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8
"3340",7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6
"1530",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
"3160",6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6
"1735",6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
"2399",8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
"1468",7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
"4739",5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6
"331",6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
"3112",6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
"1016",7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
"929",6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
"4245",7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
"2909",6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
"2091",7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5
"2073",6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
"1450",6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
"617",7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
"1386",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
"979",7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
